股票代码,股票简称,现价(元),涨跌幅(%),"基金持股比例(%)2024.06.30",基金持股数量(股)2024.06.30,基金持股市值(元)2024.06.30,基金持股家数(家)2024.06.30,基金持股选股明细
300286.SZ,安科瑞,15.12,0.80,17.84,31319427.00,677752421.92,147,--
600765.SH,中航重机,16.15,-0.80,17.83,261909336.00,5342950454.40,494,--
000425.SZ,徐工机械,6.25,2.97,17.76,1442031195.00,10310523044.25,826,--
002790.SZ,瑞尔特,6.29,-0.63,17.75,46279303.00,417902106.09,134,--
002572.SZ,索菲亚,12.67,1.20,17.74,115595541.00,1772079643.53,349,--
688005.SH,容百科技,19.38,-2.56,17.72,55905514.00,1301480389.20,165,--
688273.SH,麦澜德,20.14,-0.10,17.68,6336018.00,125453156.40,63,--
603100.SH,川仪股份,16.27,1.50,17.63,68938826.00,1620751799.26,146,--
002043.SZ,兔宝宝,9.36,1.85,17.61,129174294.00,1339537428.78,251,--
600763.SH,通策医疗,41.73,0.41,17.59,56188891.00,3037009558.55,220,--
300360.SZ,炬华科技,13.53,-0.37,17.59,87914516.00,1494546772.00,178,--
